sim	job_index	train_index	job_label	train_label	job_text	train_text
1.0	42	182	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759450767.ce50c69 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759450767.ce50c69
1.0	42	661	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759444318.cafc721 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759444318.cafc721
1.0	42	972	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759456297.d0b981c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759456297.d0b981c
1.0	42	1128	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759443208.ca10dcc Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759443208.ca10dcc
1.0	42	1629	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446252.cc2aba5 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446252.cc2aba5
1.0	42	1886	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447015.cc97b7f Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447015.cc97b7f
1.0	42	1942	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448637.cd54da7 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448637.cd54da7
1.0	619	182	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759450767.ce50c69 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759450767.ce50c69
1.0	619	661	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759444318.cafc721 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759444318.cafc721
1.0	619	972	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759456297.d0b981c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759456297.d0b981c
1.0	619	1128	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759443208.ca10dcc Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759443208.ca10dcc
1.0	619	1629	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446252.cc2aba5 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446252.cc2aba5
